Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,28/01/2025,people,"25,317"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,28/01/2025,people,"29,758"
Air,Inter-provincial travel,Public,ทย.,Regional airports,28/01/2025,people,"18,408"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,28/01/2025,people,306
Air,Inter-provincial travel,Public,กพท.,Samui Airport,28/01/2025,people,"4,346"
road,International traveling,Public,บขส.,Bus Inbound,28/01/2025,people,408
road,International traveling,Public,บขส.,Bus Outbound,28/01/2025,people,"1,347"
Railway,International traveling,Public,รฟท.,Train Inbound,28/01/2025,people,510
Railway,International traveling,Public,รฟท.,Train Outbound,28/01/2025,people,360
River,International traveling,Public,จท.,Border Port Inbound,28/01/2025,people,"2,090"
River,International traveling,Public,จท.,Border Port Outbound,28/01/2025,people,"1,914"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,28/01/2025,people,"74,184"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,28/01/2025,people,"61,137"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,28/01/2025,people,"20,190"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,28/01/2025,people,"18,102"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,28/01/2025,people,"26,145"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,28/01/2025,people,"24,810"
Air,International traveling,Public,ทย.,Regional Airports Inbound,28/01/2025,people,"1,228"
Air,International traveling,Public,ทย.,Regional Airports Outbound,28/01/2025,people,"1,167"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,29/01/2025,people,"93,642"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,29/01/2025,people,0
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),29/01/2025,Units,"783,853"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),29/01/2025,Units,"948,175"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),29/01/2025,Units,"1,393,069"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),29/01/2025,Units,"1,439,925"
road,within Bangkok,Public,ขบ.,Category 4,29/01/2025,people,0
road,within Bangkok,Public,ขสมก.,BMTA buses,29/01/2025,people,"762,146"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),29/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),29/01/2025,people,"319,574"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,29/01/2025,people,"14,397"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,29/01/2025,people,"22,409"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,29/01/2025,people,"24,802"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,29/01/2025,people,"2,682"
River,within Bangkok,Public,จท.,Regional boats,29/01/2025,people,"198,960"
Railway,Inter-provincial travel,Public,รฟท.,Trains,29/01/2025,people,"74,252"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,29/01/2025,people,"696,352"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,29/01/2025,people,"100,210"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,29/01/2025,people,"85,525"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,29/01/2025,people,"114,987"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,29/01/2025,people,"93,669"
Railway,within Bangkok,Public,กทม.,BTS electric trains,29/01/2025,people,"1,169,364"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,29/01/2025,people,"48,505"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,29/01/2025,people,"18,034"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,29/01/2025,people,"25,679"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,29/01/2025,people,"27,486"
Air,Inter-provincial travel,Public,ทย.,Regional airports,29/01/2025,people,"17,919"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,29/01/2025,people,135
Air,Inter-provincial travel,Public,กพท.,Samui Airport,29/01/2025,people,"4,084"
road,International traveling,Public,บขส.,Bus Inbound,29/01/2025,people,563
road,International traveling,Public,บขส.,Bus Outbound,29/01/2025,people,"1,451"
Railway,International traveling,Public,รฟท.,Train Inbound,29/01/2025,people,659
Railway,International traveling,Public,รฟท.,Train Outbound,29/01/2025,people,370
River,International traveling,Public,จท.,Border Port Inbound,29/01/2025,people,"2,862"
River,International traveling,Public,จท.,Border Port Outbound,29/01/2025,people,"2,765"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,29/01/2025,people,"78,587"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,29/01/2025,people,"61,968"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,29/01/2025,people,"20,985"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,29/01/2025,people,"17,372"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,29/01/2025,people,"26,551"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,29/01/2025,people,"25,482"
Air,International traveling,Public,ทย.,Regional Airports Inbound,29/01/2025,people,"2,005"
Air,International traveling,Public,ทย.,Regional Airports Outbound,29/01/2025,people,"1,827"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,30/01/2025,people,"93,528"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,30/01/2025,people,"1,075"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),30/01/2025,Units,"790,267"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),30/01/2025,Units,"957,898"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),30/01/2025,Units,"1,641,282"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),30/01/2025,Units,"1,517,654"
road,within Bangkok,Public,ขบ.,Category 4,30/01/2025,people,461
road,within Bangkok,Public,ขสมก.,BMTA buses,30/01/2025,people,"773,475"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),30/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),30/01/2025,people,"321,959"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,30/01/2025,people,"14,485"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,30/01/2025,people,"22,503"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,30/01/2025,people,"24,973"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,30/01/2025,people,"2,503"
River,within Bangkok,Public,จท.,Regional boats,30/01/2025,people,"195,048"
Railway,Inter-provincial travel,Public,รฟท.,Trains,30/01/2025,people,"75,525"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,30/01/2025,people,"699,053"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,30/01/2025,people,"103,533"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,30/01/2025,people,"87,045"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,30/01/2025,people,"116,341"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,30/01/2025,people,"97,204"
Railway,within Bangkok,Public,กทม.,BTS electric trains,30/01/2025,people,"1,178,856"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,30/01/2025,people,"49,502"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,30/01/2025,people,"19,135"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,30/01/2025,people,"26,269"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,30/01/2025,people,"28,630"
Air,Inter-provincial travel,Public,ทย.,Regional airports,30/01/2025,people,"17,824"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,30/01/2025,people,327
Air,Inter-provincial travel,Public,กพท.,Samui Airport,30/01/2025,people,"4,106"
road,International traveling,Public,บขส.,Bus Inbound,30/01/2025,people,583
road,International traveling,Public,บขส.,Bus Outbound,30/01/2025,people,"1,608"
Railway,International traveling,Public,รฟท.,Train Inbound,30/01/2025,people,568
Railway,International traveling,Public,รฟท.,Train Outbound,30/01/2025,people,579
River,International traveling,Public,จท.,Border Port Inbound,30/01/2025,people,"2,937"
River,International traveling,Public,จท.,Border Port Outbound,30/01/2025,people,"2,931"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,30/01/2025,people,"75,632"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,30/01/2025,people,"67,646"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,30/01/2025,people,"20,686"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,30/01/2025,people,"19,506"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,30/01/2025,people,"29,321"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,30/01/2025,people,"30,168"
Air,International traveling,Public,ทย.,Regional Airports Inbound,30/01/2025,people,"1,846"
Air,International traveling,Public,ทย.,Regional Airports Outbound,30/01/2025,people,"1,924"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,31/01/2025,people,"111,062"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,31/01/2025,people,"6,445"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),31/01/2025,Units,"874,662"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),31/01/2025,Units,"1,042,448"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),31/01/2025,Units,"1,689,391"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),31/01/2025,Units,"1,399,387"
road,within Bangkok,Public,ขบ.,Category 4,31/01/2025,people,"1,087"
road,within Bangkok,Public,ขสมก.,BMTA buses,31/01/2025,people,"786,030"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),31/01/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),31/01/2025,people,"339,129"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,31/01/2025,people,"14,927"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,31/01/2025,people,"22,570"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,31/01/2025,people,"24,867"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,31/01/2025,people,"2,672"
River,within Bangkok,Public,จท.,Regional boats,31/01/2025,people,"207,369"
Railway,Inter-provincial travel,Public,รฟท.,Trains,31/01/2025,people,"97,421"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,31/01/2025,people,"712,781"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,31/01/2025,people,"110,632"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,31/01/2025,people,"96,432"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,31/01/2025,people,"131,854"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,31/01/2025,people,"101,641"
Railway,within Bangkok,Public,กทม.,BTS electric trains,31/01/2025,people,"1,206,443"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,31/01/2025,people,"61,216"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,31/01/2025,people,"18,751"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,31/01/2025,people,"28,849"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,31/01/2025,people,"29,083"
Air,Inter-provincial travel,Public,ทย.,Regional airports,31/01/2025,people,"20,157"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,31/01/2025,people,132
Air,Inter-provincial travel,Public,กพท.,Samui Airport,31/01/2025,people,"4,223"
road,International traveling,Public,บขส.,Bus Inbound,31/01/2025,people,586
road,International traveling,Public,บขส.,Bus Outbound,31/01/2025,people,"1,503"
Railway,International traveling,Public,รฟท.,Train Inbound,31/01/2025,people,454
Railway,International traveling,Public,รฟท.,Train Outbound,31/01/2025,people,729
River,International traveling,Public,จท.,Border Port Inbound,31/01/2025,people,"3,226"
River,International traveling,Public,จท.,Border Port Outbound,31/01/2025,people,"2,735"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,31/01/2025,people,"78,057"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,31/01/2025,people,"71,476"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,31/01/2025,people,"20,694"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,31/01/2025,people,"20,676"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,31/01/2025,people,"26,796"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,31/01/2025,people,"28,184"
Air,International traveling,Public,ทย.,Regional Airports Inbound,31/01/2025,people,"1,142"
Air,International traveling,Public,ทย.,Regional Airports Outbound,31/01/2025,people,"1,173"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,1/2/2025,people,"135,795"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,1/2/2025,people,"5,858"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),1/2/2025,Units,"899,210"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),1/2/2025,Units,"1,049,519"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),1/2/2025,Units,"1,464,454"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),1/2/2025,Units,"1,715,542"
road,within Bangkok,Public,ขบ.,Category 4,1/2/2025,people,317
road,within Bangkok,Public,ขสมก.,BMTA buses,1/2/2025,people,"453,387"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),1/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),1/2/2025,people,"305,108"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,1/2/2025,people,"7,608"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,1/2/2025,people,"7,278"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,1/2/2025,people,"24,829"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,1/2/2025,people,"3,318"
River,within Bangkok,Public,จท.,Regional boats,1/2/2025,people,"213,952"
